time,wave_height (m),wave_direction (°),wave_period (s),wind_wave_height (m),wind_wave_direction (°),swell_wave_height (m),swell_wave_direction (°)
2024-02-14T22:00,0.48,334,4.90,0.06,274,0.48,334
2024-02-14T23:00,0.46,334,4.90,0.06,265,0.46,334
2024-02-15T00:00,0.46,334,4.90,0.06,257,0.46,335
2024-02-15T01:00,0.44,334,4.90,0.06,248,0.44,335
2024-02-15T02:00,0.42,335,4.90,0.06,242,0.42,335
2024-02-15T03:00,0.42,335,4.95,0.04,237,0.42,336
2024-02-15T04:00,0.40,336,5.00,0.04,231,0.40,336
2024-02-15T05:00,0.42,337,5.15,0.02,214,0.42,337
2024-02-15T06:00,0.42,338,5.40,0.02,197,0.42,338
2024-02-15T07:00,0.44,339,5.55,0.00,180,0.44,339
2024-02-15T08:00,0.44,339,5.60,0.00,180,0.44,339
2024-02-15T09:00,0.42,339,5.55,0.00,180,0.42,339
2024-02-15T10:00,0.42,339,5.50,0.00,180,0.42,339
2024-02-15T11:00,0.40,339,5.45,0.00,180,0.40,339
2024-02-15T12:00,0.40,340,5.45,0.00,180,0.40,340
2024-02-15T13:00,0.38,340,5.40,0.00,180,0.38,340
2024-02-15T14:00,0.36,340,5.35,0.00,180,0.36,340
2024-02-15T15:00,0.36,341,5.30,0.00,180,0.36,341
2024-02-15T16:00,0.34,341,5.30,0.00,180,0.34,341
2024-02-15T17:00,0.36,340,5.35,0.02,218,0.36,341
2024-02-15T18:00,0.38,340,5.40,0.04,256,0.38,340
2024-02-15T19:00,0.40,339,5.45,0.06,294,0.40,340
2024-02-15T20:00,0.38,339,5.45,0.04,256,0.38,340
2024-02-15T21:00,0.38,340,5.40,0.02,218,0.38,340
2024-02-15T22:00,0.36,340,5.35,0.00,180,0.36,340
2024-02-15T23:00,0.34,341,5.30,0.00,180,0.34,341
2024-02-16T00:00,0.34,341,5.30,0.00,180,0.34,341
2024-02-16T01:00,0.32,342,5.25,0.00,180,0.32,342
2024-02-16T02:00,0.32,342,5.15,0.00,180,0.32,342
2024-02-16T03:00,0.30,343,5.05,0.00,180,0.30,343
2024-02-16T04:00,0.30,343,5.15,0.00,180,0.30,343
2024-02-16T05:00,0.36,343,5.60,0.00,180,0.36,343
2024-02-16T06:00,0.42,344,6.25,0.00,180,0.42,344
2024-02-16T07:00,0.48,344,6.65,0.00,180,0.48,344
2024-02-16T08:00,0.46,344,6.65,0.00,180,0.46,344
2024-02-16T09:00,0.46,344,6.50,0.00,180,0.46,344
2024-02-16T10:00,0.44,344,6.30,0.00,180,0.44,344
2024-02-16T11:00,0.42,344,6.20,0.02,230,0.42,344
2024-02-16T12:00,0.40,343,6.10,0.04,281,0.40,343
2024-02-16T13:00,0.38,343,5.85,0.06,331,0.38,343
2024-02-16T14:00,0.40,340,5.35,0.14,327,0.36,344
2024-02-16T15:00,0.42,337,4.70,0.22,324,0.34,344
2024-02-16T16:00,0.44,334,4.15,0.30,320,0.32,345
2024-02-16T17:00,0.46,330,3.85,0.32,315,0.32,346
2024-02-16T18:00,0.46,327,3.70,0.34,309,0.32,347
2024-02-16T19:00,0.48,323,3.60,0.36,304,0.32,348
2024-02-16T20:00,0.46,322,3.55,0.32,298,0.34,344
2024-02-16T21:00,0.46,321,3.55,0.30,293,0.34,340
2024-02-16T22:00,0.44,320,3.55,0.26,287,0.36,336
2024-02-16T23:00,0.42,320,3.55,0.24,283,0.36,334
2024-02-17T00:00,0.42,319,3.55,0.22,278,0.36,332
2024-02-17T01:00,0.40,319,3.55,0.20,274,0.36,330
2024-02-17T02:00,0.40,318,3.50,0.20,272,0.34,331
2024-02-17T03:00,0.38,318,3.45,0.20,271,0.34,331
2024-02-17T04:00,0.38,317,3.45,0.20,269,0.32,332
2024-02-17T05:00,0.38,318,3.60,0.18,270,0.34,330
2024-02-17T06:00,0.40,320,3.85,0.14,272,0.36,328
2024-02-17T07:00,0.40,321,4.05,0.12,273,0.38,326
2024-02-17T08:00,0.40,323,4.10,0.12,279,0.38,327
2024-02-17T09:00,0.38,325,4.05,0.10,285,0.36,328
2024-02-17T10:00,0.38,327,4.00,0.10,291,0.36,329
2024-02-17T11:00,0.38,327,3.90,0.14,298,0.34,332
2024-02-17T12:00,0.40,328,3.75,0.20,304,0.32,336
2024-02-17T13:00,0.40,328,3.65,0.24,311,0.30,339
2024-02-17T14:00,0.44,326,3.50,0.30,310,0.30,343
2024-02-17T15:00,0.48,323,3.40,0.38,310,0.28,348
2024-02-17T16:00,0.52,321,3.35,0.44,309,0.28,352
2024-02-17T17:00,0.56,320,3.40,0.46,307,0.32,350
2024-02-17T18:00,0.60,319,3.55,0.50,304,0.36,349
2024-02-17T19:00,0.64,318,3.70,0.52,302,0.40,347
2024-02-17T20:00,0.60,320,3.80,0.42,295,0.44,341
2024-02-17T21:00,0.58,321,3.85,0.30,289,0.46,334
2024-02-17T22:00,0.54,323,3.95,0.20,282,0.50,328
2024-02-17T23:00,0.52,325,4.05,0.16,277,0.48,329
2024-02-18T00:00,0.50,327,4.10,0.14,273,0.48,330
2024-02-18T01:00,0.48,329,4.20,0.10,268,0.46,331
2024-02-18T02:00,0.46,330,4.25,0.10,266,0.46,332
2024-02-18T03:00,0.46,332,4.25,0.08,263,0.44,333
2024-02-18T04:00,0.44,333,4.35,0.08,261,0.44,334
2024-02-18T05:00,0.46,337,4.55,0.06,234,0.46,337
2024-02-18T06:00,0.46,340,4.85,0.02,207,0.46,341
2024-02-18T07:00,0.48,344,5.05,0.00,180,0.48,344
2024-02-18T08:00,0.46,345,5.15,0.00,180,0.46,345
2024-02-18T09:00,0.46,346,5.15,0.00,180,0.46,346
2024-02-18T10:00,0.44,347,5.15,0.00,180,0.44,347
2024-02-18T11:00,0.44,348,5.15,0.00,230,0.44,348
2024-02-18T12:00,0.42,348,5.15,0.02,280,0.42,348
2024-02-18T13:00,0.42,349,5.10,0.02,330,0.42,349
2024-02-18T14:00,0.42,349,4.95,0.08,334,0.40,349
2024-02-18T15:00,0.42,349,4.70,0.12,339,0.40,350
2024-02-18T16:00,0.42,349,4.60,0.18,343,0.38,350
2024-02-18T17:00,0.46,348,4.70,0.16,331,0.42,348
2024-02-18T18:00,0.50,346,4.95,0.12,318,0.48,347
2024-02-18T19:00,0.54,345,5.10,0.10,306,0.52,345
2024-02-18T20:00,0.52,345,5.15,0.06,264,0.52,345
2024-02-18T21:00,0.52,346,5.15,0.04,222,0.50,346
2024-02-18T22:00,0.50,346,5.15,0.00,180,0.50,346
2024-02-18T23:00,0.48,346,5.15,0.00,180,0.48,346
2024-02-19T00:00,0.48,347,5.10,0.00,180,0.48,347
2024-02-19T01:00,0.46,347,5.10,0.00,180,0.46,347
2024-02-19T02:00,0.44,347,5.10,0.00,180,0.44,347
2024-02-19T03:00,0.44,348,5.05,0.00,180,0.44,348
2024-02-19T04:00,0.42,348,5.05,0.00,180,0.42,348
2024-02-19T05:00,0.42,348,5.05,0.00,180,0.42,348
2024-02-19T06:00,0.40,349,5.00,0.00,180,0.40,349
2024-02-19T07:00,0.40,349,5.00,0.00,180,0.40,349
2024-02-19T08:00,0.38,349,4.95,0.00,180,0.38,349
2024-02-19T09:00,0.38,350,4.95,0.00,180,0.38,350
2024-02-19T10:00,0.36,350,4.90,0.00,180,0.36,350
2024-02-19T11:00,0.36,350,4.90,0.00,180,0.36,350
2024-02-19T12:00,0.34,350,4.90,0.00,180,0.34,350
2024-02-19T13:00,0.34,350,4.85,0.00,180,0.34,350
2024-02-19T14:00,0.34,350,4.75,0.02,121,0.34,350
2024-02-19T15:00,0.34,351,4.65,0.06,61,0.32,351
2024-02-19T16:00,0.34,351,4.60,0.08,2,0.32,351
2024-02-19T17:00,0.36,350,4.65,0.08,115,0.34,350
2024-02-19T18:00,0.36,350,4.75,0.08,229,0.36,350
2024-02-19T19:00,0.38,349,4.80,0.08,342,0.38,349
2024-02-19T20:00,0.38,349,4.80,0.08,333,0.36,349
2024-02-19T21:00,0.36,348,4.70,0.08,323,0.36,348
2024-02-19T22:00,0.36,348,4.65,0.08,314,0.34,348
2024-02-19T23:00,0.36,347,4.60,0.08,305,0.34,348
2024-02-20T00:00,0.34,347,4.50,0.08,297,0.32,347
2024-02-20T01:00,0.34,346,4.45,0.08,288,0.32,347
2024-02-20T02:00,0.34,346,4.35,0.06,277,0.32,346
2024-02-20T03:00,0.32,345,4.25,0.06,265,0.30,346
2024-02-20T04:00,0.32,345,4.35,0.04,254,0.30,345
2024-02-20T05:00,0.38,346,4.80,0.02,229,0.36,346
2024-02-20T06:00,0.42,347,5.45,0.02,205,0.42,347
2024-02-20T07:00,0.48,348,5.90,0.00,180,0.48,348
2024-02-20T08:00,0.48,348,5.95,0.00,180,0.48,348
2024-02-20T09:00,0.46,347,5.85,0.00,180,0.46,347
2024-02-20T10:00,0.46,347,5.70,0.00,180,0.46,347
2024-02-20T11:00,0.44,347,5.65,0.00,180,0.44,347
2024-02-20T12:00,0.44,347,5.55,0.00,180,0.44,347
2024-02-20T13:00,0.42,347,5.45,0.00,180,0.42,347
2024-02-20T14:00,0.42,346,5.25,0.06,232,0.40,347
2024-02-20T15:00,0.42,346,4.95,0.12,283,0.40,347
2024-02-20T16:00,0.42,345,4.70,0.18,335,0.38,347
2024-02-20T17:00,0.42,343,4.45,0.20,328,0.38,347
2024-02-20T18:00,0.42,342,4.25,0.20,322,0.38,347
2024-02-20T19:00,0.42,340,4.10,0.22,315,0.38,347
2024-02-20T20:00,0.40,340,4.05,0.18,305,0.38,345
2024-02-20T21:00,0.40,339,4.00,0.14,296,0.38,343
2024-02-20T22:00,0.38,339,4.00,0.10,286,0.38,341
2024-02-20T23:00,0.36,339,4.00,0.10,278,0.36,341
2024-02-21T00:00,0.36,339,4.00,0.08,270,0.36,341
2024-02-21T01:00,0.34,339,4.00,0.08,262,0.34,341
2024-02-21T02:00,0.34,339,3.95,0.08,256,0.34,341
2024-02-21T03:00,0.32,338,3.85,0.08,251,0.32,341
2024-02-21T04:00,0.32,338,3.85,0.08,245,0.32,341
2024-02-21T05:00,0.32,339,3.95,0.06,223,0.32,341
2024-02-21T06:00,0.32,340,4.05,0.02,202,0.32,341
2024-02-21T07:00,0.32,341,4.15,0.00,180,0.32,341
2024-02-21T08:00,0.30,341,4.15,0.00,180,0.30,341
2024-02-21T09:00,0.30,341,4.15,0.00,180,0.30,341
2024-02-21T10:00,0.28,341,4.10,0.00,180,0.28,341
2024-02-21T11:00,0.28,341,4.05,0.04,227,0.28,342
2024-02-21T12:00,0.28,341,4.00,0.08,275,0.26,342
2024-02-21T13:00,0.28,341,3.85,0.12,322,0.26,343
2024-02-21T14:00,0.32,337,3.60,0.18,320,0.24,346
2024-02-21T15:00,0.34,333,3.30,0.26,319,0.24,348
2024-02-21T16:00,0.38,329,3.05,0.32,317,0.22,351
2024-02-21T17:00,0.40,327,3.00,0.34,315,0.24,351
2024-02-21T18:00,0.44,325,3.00,0.36,312,0.24,350
2024-02-21T19:00,0.46,323,3.05,0.38,310,0.26,350
2024-02-21T20:00,0.44,323,3.10,0.30,299,0.30,343
2024-02-21T21:00,0.42,324,3.15,0.22,289,0.32,337
2024-02-21T22:00,0.40,324,3.20,0.14,278,0.36,330
2024-02-21T23:00,0.38,325,3.20,0.14,271,0.34,330
2024-02-22T00:00,0.36,325,3.25,0.12,263,0.34,331
2024-02-22T01:00,0.34,326,3.25,0.12,256,0.32,331
2024-02-22T02:00,0.32,327,3.30,0.10,254,0.32,331
2024-02-22T03:00,0.32,328,3.30,0.08,253,0.30,330
2024-02-22T04:00,0.30,329,3.35,0.06,251,0.30,330
2024-02-22T05:00,0.30,331,3.40,0.04,227,0.30,332
2024-02-22T06:00,0.28,333,3.50,0.02,204,0.28,333
2024-02-22T07:00,0.28,335,3.55,0.00,180,0.28,335
2024-02-22T08:00,0.28,336,3.55,0.02,214,0.28,336
2024-02-22T09:00,0.26,336,3.55,0.04,247,0.26,336
2024-02-22T10:00,0.26,337,3.55,0.06,281,0.26,337
2024-02-22T11:00,0.26,336,3.50,0.08,290,0.26,337
2024-02-22T12:00,0.26,334,3.45,0.10,298,0.24,337
2024-02-22T13:00,0.26,333,3.35,0.12,307,0.24,337
2024-02-22T14:00,0.28,332,3.20,0.16,314,0.24,334
2024-02-22T15:00,0.30,330,3.05,0.20,321,0.22,332
2024-02-22T16:00,0.32,329,3.00,0.24,328,0.22,329
2024-02-22T17:00,0.42,328,3.20,0.32,328,0.28,328
2024-02-22T18:00,0.52,328,3.45,0.40,327,0.34,328
2024-02-22T19:00,0.62,327,3.70,0.48,327,0.40,327
2024-02-22T20:00,0.60,326,3.80,0.38,317,0.46,327
2024-02-22T21:00,0.60,326,3.80,0.28,306,0.50,327
2024-02-22T22:00,0.58,325,3.85,0.18,296,0.56,327
2024-02-22T23:00,0.56,325,3.90,0.14,292,0.54,326
2024-02-23T00:00,0.54,324,3.95,0.12,289,0.54,326
2024-02-23T01:00,0.52,324,4.00,0.08,285,0.52,325
2024-02-23T02:00,0.50,324,4.00,0.08,286,0.50,325
2024-02-23T03:00,0.48,324,4.05,0.10,287,0.48,325
2024-02-23T04:00,0.46,324,4.00,0.10,288,0.46,325
2024-02-23T05:00,0.46,324,3.90,0.12,287,0.44,326
2024-02-23T06:00,0.46,323,3.80,0.16,286,0.44,326
2024-02-23T07:00,0.46,323,3.70,0.18,285,0.42,327
2024-02-23T08:00,0.46,323,3.65,0.20,291,0.42,327
2024-02-23T09:00,0.46,322,3.60,0.20,297,0.40,328
2024-02-23T10:00,0.46,322,3.55,0.22,303,0.40,328
2024-02-23T11:00,0.48,322,3.50,0.24,307,0.40,328
2024-02-23T12:00,0.48,323,3.50,0.26,310,0.42,328
2024-02-23T13:00,0.50,323,3.50,0.28,314,0.42,328
2024-02-23T14:00,0.50,324,3.50,0.30,317,0.42,328
2024-02-23T15:00,0.52,326,3.50,0.32,321,0.42,328
2024-02-23T16:00,0.52,327,3.50,0.34,324,0.42,328
2024-02-23T17:00,0.52,329,3.55,0.30,327,0.44,329
2024-02-23T18:00,0.50,330,3.65,0.24,329,0.44,331
2024-02-23T19:00,0.50,332,3.75,0.20,332,0.46,332
2024-02-23T20:00,0.50,333,3.80,0.18,325,0.46,333
2024-02-23T21:00,0.50,333,3.85,0.14,317,0.48,335
2024-02-23T22:00,0.50,334,3.85,0.12,310,0.48,336
2024-02-23T23:00,0.50,334,3.90,0.12,302,0.48,336
2024-02-24T00:00,0.50,335,3.90,0.12,293,0.48,337
2024-02-24T01:00,0.50,335,3.90,0.12,285,0.48,337
2024-02-24T02:00,0.50,335,3.85,0.14,289,0.48,338
2024-02-24T03:00,0.50,334,3.75,0.18,293,0.46,339
2024-02-24T04:00,0.50,334,3.75,0.20,297,0.46,340
2024-02-24T05:00,0.52,334,3.85,0.18,295,0.48,339
2024-02-24T06:00,0.54,335,4.00,0.16,293,0.50,339
2024-02-24T07:00,0.56,335,4.10,0.14,291,0.52,338
2024-02-24T08:00,0.56,335,4.10,0.18,295,0.52,339
2024-02-24T09:00,0.58,334,4.05,0.22,298,0.52,341
2024-02-24T10:00,0.58,334,4.00,0.26,302,0.52,342
2024-02-24T11:00,0.60,332,3.90,0.34,304,0.48,346
2024-02-24T12:00,0.64,330,3.80,0.42,307,0.46,349
2024-02-24T13:00,0.66,328,3.75,0.50,309,0.42,353
2024-02-24T14:00,0.68,328,3.75,0.52,312,0.42,351
2024-02-24T15:00,0.70,328,3.75,0.56,315,0.42,350
2024-02-24T16:00,0.72,328,3.80,0.58,318,0.42,348
2024-02-24T17:00,0.72,329,3.95,0.50,317,0.50,343
2024-02-24T18:00,0.74,329,4.10,0.42,316,0.58,339
2024-02-24T19:00,0.74,330,4.25,0.34,315,0.66,334
2024-02-24T20:00,0.72,331,4.35,0.28,310,0.66,335
2024-02-24T21:00,0.68,333,4.35,0.24,306,0.64,335
2024-02-24T22:00,0.66,334,4.40,0.18,301,0.64,336
2024-02-24T23:00,0.64,334,4.40,0.18,297,0.62,337
2024-02-25T00:00,0.64,335,4.40,0.20,293,0.60,338
2024-02-25T01:00,0.62,335,4.40,0.20,289,0.58,339
2024-02-25T02:00,0.60,335,4.35,0.18,289,0.58,339
2024-02-25T03:00,0.60,335,4.35,0.18,289,0.56,338
2024-02-25T04:00,0.58,335,4.30,0.16,289,0.56,338
2024-02-25T05:00,0.58,334,4.25,0.18,290,0.54,338
2024-02-25T06:00,0.56,334,4.25,0.22,291,0.54,339
2024-02-25T07:00,0.56,333,4.20,0.24,292,0.52,339
2024-02-25T08:00,0.56,333,4.15,0.24,294,0.52,339
2024-02-25T09:00,0.54,332,4.10,0.24,297,0.50,339
2024-02-25T10:00,0.54,332,4.05,0.24,299,0.50,339
2024-02-25T11:00,0.56,330,3.95,0.32,303,0.46,342
2024-02-25T12:00,0.58,329,3.80,0.38,308,0.44,345
2024-02-25T13:00,0.60,327,3.70,0.46,312,0.40,348
2024-02-25T14:00,0.62,325,3.65,0.48,308,0.40,348
2024-02-25T15:00,0.66,322,3.65,0.50,305,0.42,348
2024-02-25T16:00,0.68,320,3.65,0.52,301,0.42,348
2024-02-25T17:00,0.72,319,3.75,0.56,302,0.44,347
2024-02-25T18:00,0.78,318,3.85,0.62,304,0.44,347
2024-02-25T19:00,0.82,317,3.95,0.66,305,0.46,346
2024-02-25T20:00,0.78,317,4.00,0.58,301,0.50,341
2024-02-25T21:00,0.76,318,4.00,0.52,297,0.54,337
2024-02-25T22:00,0.72,318,4.00,0.44,293,0.58,332
2024-02-25T23:00,0.70,318,4.00,0.42,290,0.56,333
2024-02-26T00:00,0.68,317,3.95,0.42,287,0.54,333
2024-02-26T01:00,0.66,317,3.95,0.40,284,0.52,334
2024-02-26T02:00,0.64,317,3.90,0.38,283,0.52,333
2024-02-26T03:00,0.64,316,3.90,0.38,283,0.50,333
2024-02-26T04:00,0.62,316,3.90,0.36,282,0.50,332
2024-02-26T05:00,0.58,321,4.00,0.28,285,0.50,332
2024-02-26T06:00,0.56,325,4.15,0.20,287,0.50,331
2024-02-26T07:00,0.52,330,4.25,0.12,290,0.50,331
2024-02-26T08:00,0.50,331,4.30,0.08,253,0.48,332
2024-02-26T09:00,0.48,333,4.35,0.04,217,0.48,333
2024-02-26T10:00,0.46,334,4.35,0.00,180,0.46,334
2024-02-26T11:00,0.44,335,4.35,0.02,229,0.44,335
2024-02-26T12:00,0.44,336,4.35,0.02,277,0.44,336
2024-02-26T13:00,0.42,337,4.30,0.04,326,0.42,337
2024-02-26T14:00,0.42,338,4.30,0.06,329,0.40,338
2024-02-26T15:00,0.40,338,4.25,0.08,332,0.40,338
2024-02-26T16:00,0.40,339,4.15,0.10,335,0.38,339
2024-02-26T17:00,0.38,336,3.95,0.10,327,0.36,337
2024-02-26T18:00,0.36,334,3.70,0.12,318,0.34,335
2024-02-26T19:00,0.34,331,3.50,0.12,310,0.32,333
2024-02-26T20:00,0.34,331,3.45,0.12,299,0.32,333
2024-02-26T21:00,0.32,331,3.45,0.10,288,0.32,333
2024-02-26T22:00,0.32,331,3.45,0.10,277,0.32,333
2024-02-26T23:00,0.32,332,3.45,0.08,268,0.32,333
2024-02-27T00:00,0.30,332,3.50,0.08,260,0.30,333
2024-02-27T01:00,0.30,333,3.50,0.06,251,0.30,333
2024-02-27T02:00,0.30,334,3.50,0.04,227,0.30,334
2024-02-27T03:00,0.28,335,3.55,0.02,204,0.28,335
2024-02-27T04:00,0.28,336,3.55,0.00,180,0.28,336
2024-02-27T05:00,0.28,337,3.55,0.00,180,0.28,337
2024-02-27T06:00,0.26,338,3.55,0.00,180,0.26,338
2024-02-27T07:00,0.26,339,3.55,0.00,180,0.26,339
2024-02-27T08:00,0.26,339,3.55,0.00,180,0.26,339
2024-02-27T09:00,0.24,340,3.55,0.00,180,0.24,340
2024-02-27T10:00,0.24,340,3.55,0.00,180,0.24,340
2024-02-27T11:00,0.24,341,3.60,0.02,226,0.24,341
2024-02-27T12:00,0.24,341,3.65,0.02,273,0.24,341
2024-02-27T13:00,0.24,342,3.60,0.04,319,0.24,342
2024-02-27T14:00,0.28,340,3.35,0.12,323,0.24,342
2024-02-27T15:00,0.30,339,3.05,0.18,328,0.22,343
2024-02-27T16:00,0.34,337,2.90,0.26,332,0.22,343
2024-02-27T17:00,0.36,335,3.00,0.26,324,0.26,343
2024-02-27T18:00,0.40,334,3.25,0.26,317,0.30,343
2024-02-27T19:00,0.42,332,3.50,0.26,309,0.34,343
2024-02-27T20:00,0.42,333,3.65,0.22,298,0.36,341
2024-02-27T21:00,0.40,333,3.75,0.16,288,0.38,339
2024-02-27T22:00,0.40,334,3.85,0.12,277,0.40,337
2024-02-27T23:00,0.40,336,4.00,0.10,272,0.40,338
2024-02-28T00:00,0.38,337,4.15,0.08,267,0.38,339
2024-02-28T01:00,0.38,339,4.25,0.06,262,0.38,340
2024-02-28T02:00,0.38,340,4.30,0.08,268,0.38,342
2024-02-28T03:00,0.38,340,4.35,0.10,274,0.36,343
2024-02-28T04:00,0.38,341,4.40,0.12,280,0.36,345
2024-02-28T05:00,0.40,342,4.55,0.12,285,0.38,346
2024-02-28T06:00,0.40,344,4.65,0.14,289,0.38,348
2024-02-28T07:00,0.42,345,4.75,0.14,294,0.40,349
2024-02-28T08:00,0.44,343,4.70,0.16,295,0.40,349
2024-02-28T09:00,0.44,342,4.60,0.20,297,0.40,350
2024-02-28T10:00,0.46,340,4.45,0.22,298,0.40,350
2024-02-28T11:00,0.48,338,4.35,0.26,298,0.40,350
2024-02-28T12:00,0.50,335,4.20,0.28,299,0.42,349
2024-02-28T13:00,0.52,333,4.10,0.32,299,0.42,349
2024-02-28T14:00,0.54,330,4.00,0.36,300,0.42,350
2024-02-28T15:00,0.58,328,3.90,0.40,300,0.42,351
2024-02-28T16:00,0.60,325,3.85,0.44,301,0.42,352
2024-02-28T17:00,0.60,324,3.90,0.44,299,0.42,350
2024-02-28T18:00,0.62,324,3.95,0.42,298,0.44,349
2024-02-28T19:00,0.62,323,4.05,0.42,296,0.44,347
2024-02-28T20:00,0.62,323,4.10,0.40,291,0.46,345
2024-02-28T21:00,0.60,323,4.10,0.38,285,0.48,344
2024-02-28T22:00,0.60,323,4.15,0.36,280,0.50,342
2024-02-28T23:00,0.60,323,4.20,0.34,277,0.50,341
2024-02-29T00:00,0.58,323,4.25,0.32,275,0.50,339
2024-02-29T01:00,0.58,323,4.30,0.30,272,0.50,338
2024-02-29T02:00,0.58,324,4.30,0.30,270,0.50,338
2024-02-29T03:00,0.56,324,4.35,0.28,268,0.50,339
2024-02-29T04:00,0.56,325,4.45,0.28,266,0.50,339
2024-02-29T05:00,0.54,330,4.75,0.22,262,0.50,340
2024-02-29T06:00,0.54,336,5.10,0.14,258,0.52,340
2024-02-29T07:00,0.52,341,5.35,0.08,254,0.52,341
2024-02-29T08:00,0.52,340,5.35,0.12,265,0.50,342
2024-02-29T09:00,0.52,339,5.20,0.16,275,0.50,344
2024-02-29T10:00,0.52,338,5.05,0.20,286,0.48,345
2024-02-29T11:00,0.54,337,4.90,0.24,295,0.48,345
2024-02-29T12:00,0.54,335,4.70,0.30,303,0.46,345
2024-02-29T13:00,0.56,334,4.50,0.34,312,0.46,345
2024-02-29T14:00,0.58,333,4.30,0.38,313,0.44,346
2024-02-29T15:00,0.62,331,4.10,0.44,314,0.44,347
2024-02-29T16:00,0.64,330,4.00,0.48,315,0.42,348
2024-02-29T17:00,0.62,330,4.00,0.44,310,0.42,347
2024-02-29T18:00,0.58,330,4.10,0.38,306,0.44,347
2024-02-29T19:00,0.56,330,4.15,0.34,301,0.44,346
2024-02-29T20:00,0.54,330,4.15,0.32,297,0.44,345
2024-02-29T21:00,0.52,329,4.15,0.28,292,0.42,344
2024-02-29T22:00,0.50,329,4.10,0.26,288,0.42,343
2024-02-29T23:00,0.50,329,4.05,0.26,288,0.42,343